bleu,meteor,cosine_similarity,length_ratio,overall_score,reference,translation
0.7691605673134586,0.9880128061946244,0.9317157650164152,0.9333333333333333,0.9055556179644579,"On a distant planet, there is a place called ""Dream Forest"".","On a distant planet, there is a place called the ""Dream Forest""."
0.36821398145189993,0.7062853414528055,0.46462418819468476,0.9560439560439561,0.6237918667858366,"There grow all kinds of exotic flowers and plants, and there live many magical creatures.","It is home to all kinds of exotic flowers and herbs, and inhabited by many magical creatures."
1.0,0.9999375,1.0000000000000002,1.0,0.9999843750000001,"At the center of the forest stands a huge Tree of Life, which is the heart of the entire forest.","At the center of the forest stands a huge Tree of Life, which is the heart of the entire forest."
0.5133450480401704,0.7687074829931974,0.6392306240536285,0.9375,0.7146957887717491,"One day, a young adventurer came to the forest.","One day, a young adventurer arrived in the forest."
0.9356154226309104,0.9962597138499528,0.9821968572561167,0.9689922480620154,0.9707660604497489,"He heard that the fruit of the Tree of Life could fulfill any wish, so he decided to go to the center of the forest to find it.","He had heard that the fruit of the Tree of Life could fulfill any wish, so he decided to go to the center of the forest to find it."
1.0,0.9998177842565598,1.0,1.0,0.99995444606414,"On the way, he encountered many difficulties and challenges, but he never gave up.","On the way, he encountered many difficulties and challenges, but he never gave up."
0.3549481056010053,0.7270233196159123,0.5507796339456278,0.9583333333333334,0.6477710981239697,"Finally, he successfully found the Tree of Life.","Finally, he succeeded in finding the Tree of Life."
0.7348889200874658,0.8946280991735537,0.8903443065535781,0.967741935483871,0.871900815324617,"When he reached out to pick the fruit, the tree spirit appeared.","When he reached out to pick the fruit, a tree spirit appeared."
0.8658691074049545,0.9316875569977308,0.9312798333111256,0.9710144927536232,0.9249627476168585,The tree spirit told him that the fruit of the Tree of Life could not be picked at will; only those who truly needed it could obtain it.,The tree spirit told him that the fruit of the Tree of Life could not be picked arbitrarily; only those who truly needed it could obtain it.
0.7910665071754358,0.920940170940171,0.8763511049989043,1.0,0.8970894457786278,The adventurer said his wish - he hoped to cure his seriously ill mother.,The adventurer told his wish - he hoped to cure his seriously ill mother.
1.0,0.9998177842565598,1.0000000000000007,1.0,0.9999544460641401,The tree spirit was moved by his sincerity and gave him a golden fruit.,The tree spirit was moved by his sincerity and gave him a golden fruit.
0.6475445426291286,0.906986531986532,0.8199123179340648,0.8865979381443299,0.8152603326735138,The adventurer returned home with the fruit and successfully cured his mother's illness.,The adventurer returned to his hometown with the fruit and successfully cured his mother's illness.
0.8725129388059689,0.9948307917163707,0.9626903173072823,0.95,0.9450085119574054,"From then on, he and his mother lived a happy life, and often came back to visit the Tree of Life.","From then on, he and his mother lived a happy life, and they often came back to visit the Tree of Life."
0.7611606003349892,0.920940170940171,0.8586557982260813,0.9866666666666667,0.8818558090419771,This story tells us that sincerity and perseverance are the keys to success.,This story tells us that sincerity and persistence are the keys to success.
1.0,0.9999142661179699,1.0000000000000009,1.0,0.9999785665294927,"As long as we have enough sincerity and perseverance, we can overcome any difficulties and achieve our wishes.","As long as we have enough sincerity and perseverance, we can overcome any difficulties and achieve our wishes."
