bleu,meteor,cosine_similarity,length_ratio,overall_score,reference,translation
0,0.0,0.0,0.3888888888888889,0.09722222222222222,在一个遥远的星球上，有一个叫做“梦幻森林”的地方,"In a far-off planet, there's a place called ""Dreamy Forest"""
0,0.0,0.0,0.24096385542168675,0.060240963855421686,那里生长着各种奇花异草，住着许多神奇的生物,"Various strange flowers and plants grow there, and many magical creatures live there"
0,0.0,0.0,0.24742268041237114,0.061855670103092786,森林的中心有一棵巨大的生命之树，它是整个森林的心脏,"At the center of the forest is a huge Tree of Life, which serves as the heart of the entire forest"
0,0.0,0.0,0.35555555555555557,0.08888888888888889,有一天，森林里来了一位年轻的冒险者,"One day, a young adventurer came to the forest"
0,0.0,0.0,0.2672413793103448,0.0668103448275862,他听说生命之树的果实可以实现任何愿望，所以决定前往森林中心寻找它,"He heard that the fruit of the Tree of Life could grant any wish, so he decided to go to the forest center to find it"
0,0.0,0.0,0.2682926829268293,0.06707317073170732,在路上，他遇到了许多困难和挑战，但他始终没有放弃,"Along the way, he encountered many difficulties and challenges, but he never gave up"
0,0.0,0.0,0.2608695652173913,0.06521739130434782,最终，他成功找到了生命之树,"Finally, he successfully found the Tree of Life"
0,0.0,0.0,0.23333333333333334,0.058333333333333334,当他伸手去摘果实时，树精出现了,"When he reached out to pick the fruit, a tree spirit appeared"
0,0.0,0.0,0.2890625,0.072265625,树精告诉他，生命之树的果实并不是随意可以摘取的，只有那些真正需要它的人才能获得,The tree spirit told him that the fruit of the Tree of Life cannot be picked randomly; only those who truly need it can obtain it
0,0.0,0.0,0.36231884057971014,0.09057971014492754,冒险者说出了自己的愿望——他希望能够治愈自己重病的母亲,The adventurer told his wish—he hoped to cure his seriously ill mother
0,0.0,0.0,0.2916666666666667,0.07291666666666667,树精被他的真诚感动了，赐予了他一颗金色的果实,The tree spirit was touched by his sincerity and gave him a golden fruit
0,0.0,0.0,0.21649484536082475,0.05412371134020619,冒险者带着果实回到了家乡，成功治愈了母亲的病,The adventurer returned to his hometown with the fruit and successfully cured his mother's illness
0,0.0,0.0,0.27,0.0675,从此，他和母亲过上了幸福的生活，并且经常会回来看望生命之树,"From then on, he and his mother lived a happy life, and they often came back to visit the Tree of Life"
0,0.0,0.0,0.25675675675675674,0.06418918918918919,这个故事告诉我们，真诚和坚持是成功的关键,This story tells us that sincerity and persistence are the keys to success
0,0.0,0.0,0.26851851851851855,0.06712962962962964,只要我们有足够的诚意和毅力，就能够克服任何困难，实现自己的愿望,"As long as we have enough sincerity and perseverance, we can overcome any difficulties and achieve our wishes"
